solver_name,d,nd_rate,n,trials,successes,success_rate,mean_steps,std_steps,mean_time_s,std_time_s,timing_repeats,min_time_s,max_time_s,mean_dist_sign,median_dist_sign,max_dist_sign,base_seed,power_iters,passes,stop_err,shared_init
alg_qrwf_cuda_batched,100,12.0,1200,100,100,1.0,241.01,9.868319886066592,0.6596306440001353,0.0,1.0,0.6596306440001354,0.6596306440001354,9.784449954274625e-06,9.777756298475452e-06,9.990342513557565e-06,20260812,50,1500,1e-05,1
alg_qrwf_cuda_batched,100,11.0,1100,100,100,1.0,272.63,12.608042166519244,0.5999620990001131,0.0,1.0,0.5999620990001131,0.5999620990001131,9.837703873882149e-06,9.840195727276516e-06,9.99940557288234e-06,20260812,50,1500,1e-05,1
alg_qrwf_cuda_batched,100,10.0,1000,100,100,1.0,321.81,16.386552136099006,0.7208284559997261,0.0,1.0,0.7208284559997264,0.7208284559997264,9.84190383042068e-06,9.840486251378743e-06,9.992112888360184e-06,20260812,50,1500,1e-05,1
alg_qrwf_cuda_batched,100,9.0,900,100,100,1.0,391.54,21.763383204016066,0.8532415170001332,0.0,1.0,0.8532415170001332,0.8532415170001332,9.873847832201906e-06,9.868815555673497e-06,9.998241654940375e-06,20260812,50,1500,1e-05,1
alg_qrwf_cuda_batched,100,8.0,800,100,100,1.0,520.81,36.796929768719025,1.307888160999864,0.018818130465435907,3.0,1.2828602509992197,1.3197169440006837,9.899271275196482e-06,9.905250031046473e-06,9.998195268918141e-06,20260812,50,1500,1e-05,1
alg_qrwf_cuda_batched,100,7.0,700,100,100,1.0,766.93,76.85526933296391,1.6708836579998028,0.0,1.0,1.6708836579998023,1.6708836579998023,9.936356576550626e-06,9.940013643613498e-06,9.999866830501272e-06,20260812,50,1500,1e-05,1
alg_qrwf_cuda_batched,100,6.8,680,100,100,1.0,841.19,87.54943134762743,1.9032298619998622,0.0,1.0,1.903229861999862,1.903229861999862,9.943971487474e-06,9.949677683104816e-06,9.998216039344214e-06,20260812,50,1500,1e-05,1
alg_qrwf_cuda_batched,100,6.6,660,100,99,0.99,937.27,110.5031518358484,2.2783389610005536,0.0,1.0,2.2783389610005544,2.2783389610005544,0.0001443021589993097,9.935573011067478e-06,0.01344625786210574,20260812,50,1500,1e-05,1
alg_qrwf_cuda_batched,100,6.4,640,100,94,0.94,1087.91,153.32859643539584,1.829519169999985,0.0,1.0,1.829519169999985,1.829519169999985,0.0007126946020456769,9.95160078571686e-06,0.07006556984024079,20260812,50,1500,1e-05,1
alg_qrwf_cuda_batched,100,6.2,620,100,93,0.93,1229.18,136.93951920169692,1.9500420800002767,0.0,1.0,1.9500420800002758,1.9500420800002758,0.007365087478679621,9.959571544185324e-06,0.7338406199455725,20260812,50,1500,1e-05,1
alg_qrwf_cuda_batched,100,6.0,600,100,69,0.69,1373.63,121.24686021135192,2.2575055849994534,0.0,1.0,2.2575055849994534,2.2575055849994534,0.0284483425694867,9.978844414017342e-06,1.007018315189607,20260812,50,1500,1e-05,1
alg_qrwf_cuda_batched,100,5.8,580,100,18,0.18,1482.03,49.2089864093373,2.479782928000204,0.0,1.0,2.4797829280002044,2.4797829280002044,0.044549058274273766,3.115904480806058e-05,1.0642664731173899,20260812,50,1500,1e-05,1
alg_qrwf_cuda_batched,100,5.6,560,100,0,0.0,1500.0,0.0,2.08504806599929,0.0,1.0,2.08504806599929,2.08504806599929,0.08063162044825141,0.0002867099533374668,1.0954704380311868,20260812,50,1500,1e-05,1
