solver_name,d,nd_rate,n,trials,successes,success_rate,mean_steps,std_steps,mean_time_s,std_time_s,timing_repeats,min_time_s,max_time_s,mean_dist_sign,median_dist_sign,max_dist_sign,base_seed,power_iters,passes,stop_err,shared_init
alg_qpaf_cuda_batched,100,12.0,1200,100,100,1.0,229.88,9.093543052766906,0.5324109060002956,0.0,1.0,0.5324109060002956,0.5324109060002956,9.795988955891243e-06,9.79726762948063e-06,9.99862772829579e-06,20260812,50,1500,1e-05,1
alg_qpaf_cuda_batched,100,11.0,1100,100,100,1.0,259.99,12.098497277085132,0.5291268079995644,0.0,1.0,0.5291268079995644,0.5291268079995644,9.82112421326219e-06,9.825402384559966e-06,9.99855185356333e-06,20260812,50,1500,1e-05,1
alg_qpaf_cuda_batched,100,10.0,1000,100,100,1.0,305.67,14.278651861779492,0.724037887000013,0.0,1.0,0.7240378870000131,0.7240378870000131,9.844261337882705e-06,9.843695747271902e-06,9.999041503767517e-06,20260812,50,1500,1e-05,1
alg_qpaf_cuda_batched,100,9.0,900,100,100,1.0,369.65,20.124047125945438,0.9025020499993117,0.0,1.0,0.9025020499993116,0.9025020499993116,9.870087615108154e-06,9.873859090821639e-06,9.998794679399989e-06,20260812,50,1500,1e-05,1
alg_qpaf_cuda_batched,100,8.0,800,100,100,1.0,487.58,31.8786144712417,0.9641954559995791,0.019004835549926588,3.0,0.9359527849999723,0.9721039859997108,9.894574577206406e-06,9.89333517870785e-06,9.998027786244583e-06,20260812,50,1500,1e-05,1
alg_qpaf_cuda_batched,100,7.0,700,100,100,1.0,706.11,55.49754658331913,1.2615028669999446,0.0,1.0,1.2615028669999446,1.2615028669999446,9.929636749580134e-06,9.938013218304922e-06,9.999351487712225e-06,20260812,50,1500,1e-05,1
alg_qpaf_cuda_batched,100,6.8,680,100,100,1.0,775.92,66.12151042901351,1.5574159339990004,0.0,1.0,1.5574159339990001,1.5574159339990001,9.939438959002838e-06,9.93829590387345e-06,9.999906872568441e-06,20260812,50,1500,1e-05,1
alg_qpaf_cuda_batched,100,6.6,660,100,100,1.0,860.96,81.39502379746503,2.0796885059995107,0.0,1.0,2.079688505999511,2.079688505999511,9.940193261645751e-06,9.94050674934578e-06,9.999152640685899e-06,20260812,50,1500,1e-05,1
alg_qpaf_cuda_batched,100,6.4,640,100,98,0.98,980.01,123.84174448370662,1.9907957960001659,0.0,1.0,1.9907957960001659,1.9907957960001659,0.0023075532184222507,9.942835216923762e-06,0.22975652933866303,20260812,50,1500,1e-05,1
alg_qpaf_cuda_batched,100,6.2,620,100,99,0.99,1119.01,109.93721762070302,2.3671237690001723,0.0,1.0,2.3671237690001727,2.3671237690001727,7.568285458777247e-05,9.955418638297472e-06,0.006582921875514514,20260812,50,1500,1e-05,1
alg_qpaf_cuda_batched,100,6.0,600,100,93,0.93,1271.68,119.42157563553049,1.9310589520004577,0.0,1.0,1.9310589520004577,1.9310589520004577,0.00023439518490607427,9.961043706787027e-06,0.01972498012544678,20260812,50,1500,1e-05,1
alg_qpaf_cuda_batched,100,5.8,580,100,51,0.51,1449.17,71.9827497573291,2.7020258490007842,0.0,1.0,2.702025849000784,2.702025849000784,0.028249979025300603,9.998433626597316e-06,0.9084609343409195,20260812,50,1500,1e-05,1
alg_qpaf_cuda_batched,100,5.6,560,100,2,0.02,1499.23,6.2196414200450025,2.521975652000401,0.0,1.0,2.521975652000401,2.521975652000401,0.03274799005993668,6.791389336977826e-05,1.017506407358918,20260812,50,1500,1e-05,1
alg_qpaf_cuda_batched,100,5.4,540,100,0,0.0,1500.0,0.0,2.5573011360003157,0.0,1.0,2.557301136000315,2.557301136000315,0.08191412653624558,0.0004154405021187793,1.1413494566534865,20260812,50,1500,1e-05,1
