solver_name,d,nd_rate,n,trials,successes,success_rate,mean_steps,std_steps,mean_time_s,std_time_s,timing_repeats,min_time_s,max_time_s,mean_dist_sign,median_dist_sign,max_dist_sign,base_seed,power_iters,passes,stop_err,shared_init
alg_qrkm_cuda_batched,100,12.0,1200,100,100,1.0,17.83,0.8294454761946671,0.22378003900055773,0.0,1.0,0.22378003900055773,0.22378003900055773,7.417229221659411e-06,7.160540155158494e-06,9.922847597907516e-06,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,11.0,1100,100,100,1.0,21.69,0.9177816909936874,0.2740081440005452,0.0,1.0,0.27400814400054513,0.27400814400054513,7.785822853947092e-06,7.782482339612845e-06,9.905758246956465e-06,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,10.0,1000,100,100,1.0,27.37,1.2764771597619518,0.4018641780002509,0.0,1.0,0.4018641780002508,0.4018641780002508,8.41211360327673e-06,8.562538512353772e-06,9.985870806965407e-06,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,9.0,900,100,100,1.0,36.5,1.6360830286900714,0.4628499059996102,0.0,1.0,0.4628499059996102,0.4628499059996102,8.547265882131336e-06,8.435677124360146e-06,9.984835060782346e-06,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,8.0,800,100,100,1.0,52.74,3.141832444786181,0.6008490340004207,0.014320336582255188,3.0,0.577049264999805,0.6027474959997926,9.105393727550858e-06,9.192768041833851e-06,9.927238864126155e-06,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,7.0,700,100,100,1.0,87.23,6.178906771338187,0.8664481079997494,0.0,1.0,0.8664481079997495,0.8664481079997495,9.442698767011005e-06,9.450255292528927e-06,9.99510399467284e-06,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,6.8,680,100,100,1.0,97.76,8.334084814601402,0.9638144380005542,0.0,1.0,0.9638144380005542,0.9638144380005542,9.508339445325477e-06,9.528322456341159e-06,9.998166523536742e-06,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,6.6,660,100,100,1.0,112.38,11.659980768215336,1.2302331259998027,0.0,1.0,1.2302331259998027,1.2302331259998027,9.518806254566305e-06,9.510843916113529e-06,9.97787943496342e-06,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,6.4,640,100,100,1.0,131.52,16.43197179189695,1.4399798389989886,0.0,1.0,1.4399798389989882,1.4399798389989882,9.618939028953286e-06,9.609189959717517e-06,9.998326585676403e-06,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,6.2,620,100,100,1.0,155.09,16.952753716899757,1.6369398890004958,0.0,1.0,1.6369398890004958,1.6369398890004958,9.651007747496017e-06,9.64185355818414e-06,9.999867065642836e-06,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,6.0,600,100,100,1.0,183.25,22.9678629235009,2.0335761519998776,0.0,1.0,2.0335761519998776,2.0335761519998776,9.742230703433305e-06,9.733172868260433e-06,9.998126441508737e-06,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,5.8,580,100,100,1.0,242.0,53.86702670146707,2.913870452999837,0.0,1.0,2.913870452999836,2.913870452999836,9.750155259794994e-06,9.745539253954427e-06,9.994497737979306e-06,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,5.6,560,100,99,0.99,325.78,176.8078669578416,8.461225851000055,0.0,1.0,8.461225851000053,8.461225851000053,0.0013895389169240446,9.822440830298887e-06,0.13798318415880634,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,5.4,540,100,99,0.99,432.46,212.82787753145837,8.286872602000368,0.0,1.0,8.286872602000367,8.286872602000367,0.011211510358972719,9.82994234769859e-06,1.1201774985112616,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,5.2,520,100,89,0.89,674.03,341.55465880221124,8.217711061999438,0.0,1.0,8.217711061999434,8.217711061999434,0.08492205653524916,9.913887327291777e-06,1.098747681615823,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,5.0,500,100,76,0.76,950.89,357.57180235357464,8.281293609000276,0.0,1.0,8.281293609000278,8.281293609000278,0.1848913137519721,9.943994153510648e-06,1.2074087004388898,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,4.8,480,100,51,0.51,1289.38,238.67740707168886,8.46832754299976,0.0,1.0,8.46832754299976,8.46832754299976,0.2872867509343397,9.997981629320905e-06,1.3550116622498658,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,4.6,460,100,1,0.01,1498.81,11.9,7.984835147000848,0.0,1.0,7.984835147000849,7.984835147000849,0.5240374965670329,0.5477263137476525,1.3339257824359316,20260812,50,1500,1e-05,1
alg_qrkm_cuda_batched,100,4.4,440,100,0,0.0,1500.0,0.0,7.726984204000331,0.0,1.0,7.726984204000328,7.726984204000328,0.7589276416345944,0.8813202214988201,1.2994895362489216,20260812,50,1500,1e-05,1
