solver_name,d,nd_rate,n,trials,successes,success_rate,mean_steps,std_steps,mean_time_s,std_time_s,timing_repeats,min_time_s,max_time_s,mean_dist_sign,median_dist_sign,max_dist_sign,base_seed,power_iters,passes,stop_err,shared_init
alg_qaraf_cuda_batched,100,12.0,1200,100,100,1.0,103.92,5.08648436863058,0.1868720380000013,0.0,1.0,0.18687203800000135,0.18687203800000135,9.41076537584584e-06,9.397361772457967e-06,9.992301399888134e-06,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,11.0,1100,100,100,1.0,126.05,7.540295790356013,0.34924394300003775,0.0,1.0,0.3492439430000377,0.3492439430000377,9.543123638608247e-06,9.53621411781546e-06,9.997200521073966e-06,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,10.0,1000,100,100,1.0,158.42,9.364860173040816,0.30868153899995376,0.0,1.0,0.30868153899995376,0.30868153899995376,9.650674553833356e-06,9.6187401715381e-06,9.988693253267367e-06,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,9.0,900,100,100,1.0,201.86,12.447887330382574,0.41606860400002915,0.0,1.0,0.41606860400002915,0.41606860400002915,9.729446302707918e-06,9.725757831226243e-06,9.99879498388159e-06,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,8.0,800,100,100,1.0,278.59,20.38572237541944,0.5644584869999383,0.1666055507524256,3.0,0.5121963200000755,0.8233251719998953,9.819973496975411e-06,9.819541886732618e-06,9.998649300196591e-06,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,7.0,700,100,100,1.0,421.15,38.98779270230593,0.798927448000031,0.0,1.0,0.7989274480000312,0.7989274480000312,9.880006334380644e-06,9.890164093464521e-06,9.998967793809839e-06,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,6.8,680,100,100,1.0,464.73,44.03737049370682,1.017319841999997,0.0,1.0,1.0173198419999971,1.0173198419999971,9.896034346687358e-06,9.89572349719967e-06,9.99399961879588e-06,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,6.6,660,100,100,1.0,519.92,56.74463085890269,1.166535774999939,0.0,1.0,1.1665357749999385,1.1665357749999385,9.89312263180303e-06,9.884284826340196e-06,9.994462828659713e-06,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,6.4,640,100,100,1.0,601.6,104.26171421238503,1.6681783530001124,0.0,1.0,1.6681783530001122,1.6681783530001122,9.908759552208751e-06,9.912017307990774e-06,9.999113171900913e-06,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,6.2,620,100,100,1.0,688.87,90.00938839921088,1.8106880880000247,0.0,1.0,1.8106880880000245,1.8106880880000245,9.929873068454093e-06,9.938354735002313e-06,9.998705290029263e-06,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,6.0,600,100,98,0.98,802.81,149.7153322377862,2.256239299000008,0.0,1.0,2.256239299000008,2.256239299000008,0.0016278247155183231,9.933061483579188e-06,0.15865530320655913,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,5.8,580,100,95,0.95,979.54,172.39544745447978,2.1905747770000015,0.0,1.0,2.1905747770000015,2.1905747770000015,0.03504984212177666,9.951999642024262e-06,1.0319724330408124,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,5.6,560,100,90,0.9,1192.4,169.35397154117078,2.2155014649999805,0.0,1.0,2.2155014649999796,2.2155014649999796,0.01732893486538956,9.961081934966585e-06,1.0083228633889187,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,5.4,540,100,68,0.68,1392.78,111.75374985234546,2.431522762000096,0.0,1.0,2.431522762000095,2.431522762000095,0.04157984934992951,9.97903403836333e-06,1.155250917838372,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,5.2,520,100,5,0.05,1496.16,20.901268629033755,2.4300688479999373,0.0,1.0,2.4300688479999373,2.4300688479999373,0.14014706508591487,0.000197947938265174,1.113461960012764,20260812,50,1500,1e-05,1
alg_qaraf_cuda_batched,100,5.0,500,100,0,0.0,1500.0,0.0,2.222762692999968,0.0,1.0,2.222762692999968,2.222762692999968,0.25029561488447327,0.0032012211291011445,1.1538302536334653,20260812,50,1500,1e-05,1
