epoch,QRKM,QADMM,QRAF,QARAF,QWF,QRWF,QPAF
24,-5.1866167485259105,-1.795538962432995,-1.293607304606201,-1.2093345573073897,-0.5438515140632992,-0.7892818114391842,-1.0316545690464285
25,-5.382046401916431,-1.878453916414093,-1.3442256992327986,-1.2664609126757507,-0.5552958069099498,-0.816731171143795,-1.0695971156112363
26,-5.563482140529637,-1.9622200145564554,-1.39527665827964,-1.3250838846197635,-0.5667705961816012,-0.8448316865201696,-1.1082476070414387
27,-5.758097700809876,-2.043003611385576,-1.4465970702464837,-1.3851237928578704,-0.5782777513356301,-0.873572809288064,-1.1475620539856057
28,-5.944313866408924,-2.1243471956024753,-1.498018912634146,-1.4464506728197033,-0.5898187838904747,-0.9029443674262245,-1.1874888193460758
29,-6.118225661792629,-2.2031049862998455,-1.5493766657609676,-1.5088813995500685,-0.6013949860192309,-0.9329378385209709,-1.2279685302624004
30,-6.297034556957563,-2.2818138345974557,-1.6005141221408086,-1.5721841961186225,-0.6130075341578682,-0.9635468761271063,-1.268934240940438
31,-6.479959005127609,-2.358541158637823,-1.651289949444647,-1.636090627505363,-0.6246575639667108,-0.9947668131682547,-1.3103119866223885
32,-6.674935605020689,-2.434620479499381,-1.7015816399340122,-1.700313852251114,-0.6363462220915314,-1.0265932017204886,-1.352021806080243
33,-6.8492931093990626,-2.50927054032025,-1.7512877448805686,-1.7645705728511176,-0.6480746993379048,-1.0590198327793374,-1.3939792297012128
34,-7.042330748994085,-2.582973522286454,-1.8003285103729816,-1.8286031158404097,-0.6598442491203655,-1.0920368854552345,-1.4360971510396066
35,-7.237940521274416,-2.655571126744744,-1.8486451802929695,-1.892197795990749,-0.6716561943867039,-1.1256297134737308,-1.478287939107292
36,-7.411430609485006,-2.7272006578889147,-1.896198309139091,-1.9551964273825388,-0.6835119256494095,-1.1597783530402215,-1.5204656175456002
37,-7.602206650907783,-2.79788399561782,-1.9429654406898322,-2.017499415348989,-0.6954128922767521,-1.1944574140847888,-1.562547937117554
38,-7.803626921847663,-2.8676828650494266,-1.9889384748255319,-2.07906080934978,-0.7073605887974885,-1.229635866370171,-1.6044581940241571
39,-7.999189828161695,-2.9366457037450506,-2.034120983287149,-2.1398773798610224,-0.7193565376458991,-1.2652764040936706,-1.6461266886153696
40,-8.20660443308587,-3.004822649193395,-2.078525663171171,-2.199974707178659,-0.7314022695073231,-1.301334419592632,-1.687491766886189
41,-8.41654436408312,-3.072261091377927,-2.1221720477068216,-2.2593932810948485,-0.7434993022083926,-1.3377569457038203,-1.728500432414825
42,-8.598739771757788,-3.139006349040368,-2.1650845353694184,-2.3181768963924,-0.7556491189213503,-1.3744821037739798,-1.7691085537129234
43,-8.813739159225134,-3.2051012936529153,-2.2072907540560913,-2.3763645700585303,-0.7678531463099338,-1.4114395592078834,-1.8092807187342697
44,-9.032521666408366,-3.2705862825472654,-2.2488202468954546,-2.4339861805603715,-0.7801127331282712,-1.4485522429515143,-1.8489898041654882
45,-9.204686100674229,-3.3354991090332597,-2.289703448288805,-2.4910612845896103,-0.7924291296882954,-1.485739226685396,-1.8882163332334443
46,-9.376589183972467,-3.399875008285811,-2.329970910169858,-2.5476001850807397,-0.8048034685307238,-1.5229192912387932,-1.9269476940797807
47,-9.568044796418418,-3.4637467010787697,-2.369652736381985,-2.6036062621686407,-0.8172367465660969,-1.5600145499624212,-1.9651772835552066
48,-9.764509483563442,-3.5271444684551723,-2.408778185077809,-2.6590787290557527,-0.8297298088930464,-1.5969535384970628,-2.002903630789244
49,-9.972824503044766,-3.5900962500934535,-2.4473754032888975,-2.7140152224051506,-0.8422833344489021,-1.6336733991490044,-2.0401295430002637
50,-10.161261376986312,-3.652627760192174,-2.485471262997844,-2.7684138916263943,-0.8548978236016287,-1.6701210517467129,-2.0768613041978004
51,-10.371396279628259,-3.714762615454814,-2.5230912733442454,-2.8222748595233402,-0.8675735877509443,-1.7062534529915065,-2.1131079467024825
52,-10.567266677214057,-3.776522470503352,-2.5602595485344284,-2.8756010681164206,-0.8803107409697773,-1.7420371612943082,-2.1488806063493855
53,-10.762027850290673,-3.837927156768404,-2.596998815369441,-2.928398601584399,-0.8931091936845529,-1.777447452427521,-2.184191965078249
54,-10.943097139058928,-3.8989948215898287,-2.633330447978804,-2.980676608862896,-0.9059686483639894,-1.812467203927409,-2.219055779321898
55,-11.113159170854294,-3.959742064902422,-2.669274520362038,-3.0324469497093336,-0.9188885971609744,-1.8470857141220347,-2.253486488990719
56,-11.279974695358039,-4.020184071465141,-2.7048498697568855,-3.083723674826746,-0.9318683214305645,-1.8812975664622245,-2.2874988996386776
57,-11.483295802063116,-4.080334737111793,-2.7400741657533896,-3.134522432194999,-0.9449068930291701,-1.9151016027501295,-2.3211079292821033
58,-11.6660606530503,-4.140206787953292,-2.7749639815416116,-3.184859872399769,-0.9580031772853757,-1.9485000337487204,-2.354328411037608
59,-11.86374841820103,-4.199811891845644,-2.809534864797503,-3.2347531067907065,-0.9711558375215322,-1.9814976922003102,-2.3871749429988194
